token_id,token,kind,source,frequency,is_severe_outcome
60,Oral health education (procedure),event,procedures,583308,False
61,Examination of gingivae (procedure),event,procedures,579538,False
62,Dental care (regime/therapy),event,procedures,579538,False
63,Removal of supragingival plaque and calculus from all teeth using dental instrument (procedure),event,procedures,579538,False
64,Removal of subgingival plaque and calculus from all teeth using dental instrument (procedure),event,procedures,579538,False
65,Renal dialysis (procedure),event,procedures,521449,False
66,1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen],event,medications,508552,False
67,lisinopril 10 MG Oral Tablet,event,medications,392983,False
68,Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),event,procedures,362276,False
69,Screening for drug abuse (procedure),event,procedures,361733,False
70,Screening for domestic abuse (procedure),event,procedures,355130,False
71,Stress (finding),event,conditions,350829,False
72,Evaluation of uterine fundal height (procedure),event,procedures,349405,False
73,Auscultation of the fetal heart (procedure),event,procedures,349405,False
74,Hydrochlorothiazide 25 MG Oral Tablet,event,medications,331675,False
75,Full-time employment (finding),event,conditions,329959,False
76,Dental plain X-ray bitewing (procedure),event,procedures,307274,False
77,amLODIPine 2.5 MG Oral Tablet,event,medications,302825,False
78,Gingivitis (disorder),event,conditions,292629,False
79,Dental fluoride treatment (procedure),event,procedures,289862,False
80,sodium fluoride 0.0272 MG/MG Oral Gel,event,medications,289862,False
81,insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin],event,medications,281013,False
82,Part-time employment (finding),event,conditions,200298,False
83,Viral sinusitis (disorder),event,conditions,121465,False
84,Limited social contact (finding),event,conditions,121315,False
85,Social isolation (finding),event,conditions,121122,False
86,Intramuscular injection (procedure),event,procedures,115080,False
87,Td (adult)  5 Lf tetanus toxoid  preservative free  adsorbed,event,immunizations,112640,False
88,Nursing care/supplementary surveillance (regime/therapy),event,procedures,111606,False
89,Not in labor force (finding),event,conditions,111001,False
90,Dental surgical procedure (procedure),event,procedures,109893,False
91,Postoperative care for dental procedure (regime/therapy),event,procedures,109893,False
92,Dental application of desensitizing medicament (procedure),event,procedures,106125,False
93,Combined chemotherapy and radiation therapy (procedure),event,procedures,102749,False
94,Physical examination procedure (procedure),event,procedures,100351,False
95,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,event,medications,99820,False
96,Cisplatin 50 MG Injection,event,medications,96866,False
97,Hearing examination (procedure),event,procedures,96711,False
98,Ibuprofen 400 MG Oral Tablet [Ibu],event,medications,94687,False
99,Acetaminophen 325 MG Oral Tablet [Tylenol],event,medications,94514,False
100,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,event,medications,86331,False
101,Victim of intimate partner abuse (finding),event,conditions,84258,False
102,Gingivectomy or gingivoplasty  per tooth (procedure),event,procedures,83979,False
103,Gingival disease (disorder),event,conditions,83979,False
104,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],event,medications,83187,False
105,Rehabilitation therapy (regime/therapy),event,procedures,81527,False
106,PACLitaxel 100 MG Injection,event,medications,80084,False
107,Body mass index 30+ - obesity (finding),event,conditions,80004,False
108,Hemogram  automated  with red blood cells  white blood cells  hemoglobin  hematocrit  indices  platelet count  and manual white blood cell differential (procedure),event,procedures,77715,False
109,Simvastatin 10 MG Oral Tablet,event,medications,76022,False
110,zoster vaccine  live,event,immunizations,75765,False
111,Sleep apnea assessment (procedure),event,procedures,75007,False
112,Hep A  adult,event,immunizations,74615,False
113,Acute viral pharyngitis (disorder),event,conditions,69352,False
114,Colonoscopy (procedure),event,procedures,69110,False
115,Received higher education (finding),event,conditions,66844,False
116,Reports of violence in the environment (finding),event,conditions,65686,False
117,Camera fundoscopy (procedure),event,procedures,62457,False
118,Diabetic retinal eye exam (procedure),event,procedures,62457,False
119,Ocular slit lamp examination (procedure),event,procedures,62457,False
120,Intraocular pressure test (procedure),event,procedures,62457,False
121,tropicamide 5 MG/ML Ophthalmic Solution,event,medications,62457,False
122,Indirect gonioscopy (procedure),event,procedures,62457,False
123,Acetaminophen 325 MG Oral Tablet,event,medications,62351,False
124,Visual acuity testing (procedure),event,procedures,62324,False
125,Normal pregnancy (finding),event,conditions,62261,False
126,Depression screening using Patient Health Questionnaire Nine Item score (procedure),event,procedures,61472,False
127,Prediabetes (finding),event,conditions,60982,False
128,Standard pregnancy test (procedure),event,procedures,60902,False
129,Professional / ancillary services care (regime/therapy),event,procedures,60707,False
130,Primary dental caries (disorder),event,conditions,60354,False
131,Ultrasound scan for fetal viability (procedure),event,procedures,58638,False
132,Restoration of tooth with coverage of all cusps using dental filling material (procedure),event,procedures,57762,False
133,Application of composite dental filling material to dentin of tooth following fracture of tooth (procedure),event,procedures,57750,False
134,Acute bronchitis (disorder),event,conditions,56852,False
135,72 HR Fentanyl 0.025 MG/HR Transdermal System,event,medications,55956,False
136,Anemia (disorder),event,conditions,55619,False
137,Unemployed (finding),event,conditions,52917,False
138,COVID-19  mRNA  LNP-S  PF  30 mcg/0.3 mL dose,event,immunizations,52492,False
139,albuterol 0.83 MG/ML Inhalation Solution,event,medications,51485,False
140,Oxygen administration by mask (procedure),event,procedures,48175,False
141,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],event,medications,46025,False
142,12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule,event,medications,45970,False
143,Placing subject in prone position (procedure),event,procedures,45810,False
144,Cytopathology procedure  preparation of smear  genital source (procedure),event,procedures,44995,False
145,albuterol 5 MG/ML Inhalation Solution,event,medications,44481,False
146,60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,event,medications,44251,False
147,tramadol hydrochloride 50 MG Oral Tablet,event,medications,43259,False
148,Blood group typing (procedure),event,procedures,42998,False
149,COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,event,immunizations,42232,False
150,Spirometry (procedure),event,procedures,42115,False
151,Detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using fluorescence in situ hybridization screening technique (procedure),event,procedures,39159,False
152,Hepatitis C antibody  confirmatory test (procedure),event,procedures,38943,False
153,Skin test for tuberculosis  Tine test (procedure),event,procedures,38943,False
154,Urinalysis  protein  qualitative (procedure),event,procedures,38943,False
155,Rubella screening test (procedure),event,procedures,38943,False
156,Measurement of Varicella-zoster virus antibody (procedure),event,procedures,38943,False
157,Human immunodeficiency virus antigen test (procedure),event,procedures,38943,False
158,Hepatitis B surface antigen measurement (procedure),event,procedures,38943,False
159,Urine screening test for diabetes (procedure),event,procedures,38943,False
160,Urine culture (procedure),event,procedures,38943,False
161,Syphilis infectious titer test (procedure),event,procedures,38943,False
162,Gonorrhea infection titer test (procedure),event,procedures,38943,False
163,Chlamydia antigen test (procedure),event,procedures,38943,False
164,Administration of vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (procedure),event,procedures,38772,False
165,Urine screening for glucose (procedure),event,procedures,38772,False
166,Fetal anatomy study (procedure),event,procedures,37936,False
167,Alpha-fetoprotein test - antenatal (procedure),event,procedures,37936,False
168,Streptococcus pneumoniae group B antigen assay (procedure),event,procedures,36709,False
169,Chronic pain (finding),event,conditions,36165,False
170,Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet,event,medications,33947,False
171,Educated to high school level (finding),event,conditions,33652,False
172,Essential hypertension (disorder),event,conditions,33539,False
173,120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],event,medications,32518,False
174,Human parturition  function (observable entity),event,procedures,32328,False
175,Past pregnancy history of miscarriage (situation),event,conditions,30913,False
176,Measurement of respiratory function (procedure),event,procedures,29475,False
177,Naproxen sodium 220 MG Oral Tablet,event,medications,28990,False
178,Implantation of subcutaneous contraceptive (procedure),event,procedures,28641,False
179,Plain X-ray of chest (procedure),event,procedures,28051,False
180,Chronic sinusitis (disorder),event,conditions,28045,False
181,Insertion of intrauterine contraceptive device (procedure),event,procedures,27785,False
182,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,event,medications,27183,False
183,Unhealthy alcohol drinking behavior (finding),event,conditions,26856,False
184,Throat culture (procedure),event,procedures,26739,False
185,budesonide 0.25 MG/ML Inhalation Suspension,event,medications,26687,False
186,Acetaminophen 500 MG Oral Tablet,event,medications,26574,False
187,Chronic low back pain (finding),event,conditions,26239,False
188,Risk activity involvement (finding),event,conditions,25103,False
189,Has a criminal record (finding),event,conditions,24730,False
190,Occupational therapy (regime/therapy),event,procedures,24485,False
191,Physical therapy procedure (regime/therapy),event,procedures,24439,False
192,Electrocardiographic procedure (procedure),event,procedures,23931,False
193,Overdose (disorder),event,conditions,21205,False
194,Etonogestrel 68 MG Drug Implant,event,medications,20085,False
195,Removal of subcutaneous contraceptive (procedure),event,procedures,19798,False
196,10 ML Furosemide 10 MG/ML Injection,event,medications,19535,False
197,History of tubal ligation (situation),event,conditions,19533,False
198,High resolution computed tomography of chest without contrast (procedure),event,procedures,19437,False
199,Metabolic syndrome X (disorder),event,conditions,19285,False
200,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,event,medications,19139,False
201,Infection of tooth (disorder),event,conditions,18960,False
202,Simple extraction of tooth (procedure),event,procedures,18960,False
203,Ibuprofen 200 MG Oral Tablet,event,medications,18911,False
204,Pulmonary rehabilitation (regime/therapy),event,procedures,18755,False
205,History and physical examination  limited (procedure),event,procedures,18087,False
206,Development of individualized plan of care (procedure),event,procedures,18030,False
207,Initial patient assessment (procedure),event,procedures,18030,False
208,Housing unsatisfactory (finding),event,conditions,17829,False
209,Take oral or dental impression (procedure),event,procedures,17546,False
210,Peripheral blood smear interpretation (procedure),event,procedures,17517,False
211,Fitting of denture (procedure),event,procedures,17512,False
212,Laceration - injury (disorder),event,conditions,17504,False
213,Brief general examination (procedure),event,procedures,17493,False
214,Review of systems (procedure),event,procedures,17493,False
215,Suture open wound (procedure),event,procedures,17415,False
216,NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin],event,medications,17374,False
217,NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir],event,medications,17055,False
218,etoposide 100 MG Injection [Etopophos],event,medications,16782,False
219,Discharge from hospital (procedure),event,procedures,16703,False
220,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Jolivette 28 Day],event,medications,16562,False
221,120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent],event,medications,16456,False
222,Chronic neck pain (finding),event,conditions,16420,False
223,Optical coherence tomography of retina (procedure),event,procedures,15828,False
224,Severe anxiety (panic) (finding),event,conditions,15627,False
225,Physical examination  complete (procedure),event,procedures,15522,False
226,24 HR tacrolimus 1 MG Extended Release Oral Tablet [Envarsus],event,medications,15036,False
227,Passive immunization (procedure),event,procedures,14948,False
228,Sprain (morphologic abnormality),event,conditions,14904,False
229,Loss of teeth (disorder),event,conditions,14750,False
230,History taking (procedure),event,procedures,14613,False
231,Removal of intrauterine contraceptive device (procedure),event,procedures,14384,False
232,1 ML tacrolimus 5 MG/ML Injection [Prograf],event,medications,14366,False
233,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,event,medications,14162,False
234,Referral to cardiology service (procedure),event,procedures,14135,False
235,budesonide 0.125 MG/ML Inhalation Suspension,event,medications,14100,False
236,1 ML medroxyprogesterone acetate 150 MG/ML Injection,event,medications,14078,False
237,Dental filling lost (finding),event,conditions,13944,False
238,Loose dental filling (finding),event,conditions,13813,False
239,Urinalysis with reflex to microscopy and culture (procedure),event,procedures,13769,False
240,Leaking dental filling (finding),event,conditions,13758,False
241,Lack of access to transportation (finding),event,conditions,13733,False
242,Transport problem (finding),event,conditions,13732,False
243,Fractured dental filling (finding),event,conditions,13643,False
244,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,event,medications,13397,False
245,Only received primary school education (finding),event,conditions,13386,False
246,Transplantation of kidney regime (regime/therapy),event,procedures,13055,False
247,History AND physical examination (procedure),event,procedures,12880,False
248,Misuses drugs (finding),event,conditions,12675,False
249,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Errin 28 Day],event,medications,12664,False
250,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Camila 28 Day],event,medications,12625,False
251,Pre-discharge assessment (procedure),event,procedures,12464,False
252,Streptococcal sore throat (disorder),event,conditions,12442,False
253,Speech and language therapy regime (regime/therapy),event,procedures,12206,False
254,Echocardiography (procedure),event,procedures,12166,False
255,Miscarriage in first trimester (disorder),event,conditions,12079,False
256,Clopidogrel 75 MG Oral Tablet,event,medications,12056,False
257,Abnormal findings diagnostic imaging heart+coronary circulat (finding),event,conditions,11709,False
258,Replacement of contraceptive intrauterine device (procedure),event,procedures,11619,False
259,Ischemic heart disease (disorder),event,conditions,11611,False
260,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,event,medications,11477,False
261,Sputum examination (procedure),event,procedures,11465,False
262,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,event,medications,11376,False
263,Simvastatin 20 MG Oral Tablet,event,medications,11352,False
264,NDA020503 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,event,medications,11339,False
265,Human immunodeficiency virus viral load (procedure),event,procedures,11021,False
266,Postoperative care (regime/therapy),event,procedures,10955,False
267,Mammography (procedure),event,procedures,10911,False
268,Hyperlipidemia (disorder),event,conditions,10818,False
269,Discussion about signs and symptoms (procedure),event,procedures,10718,False
270,Angiography of coronary artery (procedure),event,procedures,10714,False
271,Antibiotic therapy (procedure),event,procedures,10683,False
272,Sprain of ankle (disorder),event,conditions,10485,False
273,Urine specimen collection (procedure),event,procedures,10350,False
274,Suspected disease caused by Severe acute respiratory coronavirus 2 (situation),event,conditions,10294,False
275,Face mask (physical object),event,procedures,10293,False
276,Episiotomy (procedure),event,procedures,10227,False
277,Penicillin V Potassium 500 MG Oral Tablet,event,medications,10037,False
278,Disorder of kidney due to diabetes mellitus (disorder),event,conditions,10013,False
279,Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder),event,conditions,9959,False
280,Diabetes mellitus type 2 (disorder),event,conditions,9710,False
281,Consultation for treatment (procedure),event,procedures,9672,False
282,Concussion injury of brain (disorder),event,conditions,9341,False
283,Transfusion of packed red blood cells (procedure),event,procedures,9221,False
284,Hypertriglyceridemia (disorder),event,conditions,9216,False
285,Chronic kidney disease stage 1 (disorder),event,conditions,9213,False
286,Fever (finding),event,conditions,9105,False
287,Absolute CD4 count procedure (procedure),event,procedures,8995,False
288,Post anesthesia care management (procedure),event,procedures,8979,False
289,Acute infective cystitis (disorder),event,conditions,8960,False
290,{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Seasonique],event,medications,8935,False
291,{24 (drospirenone 3 MG / ethinyl estradiol 0.02 MG Oral Tablet) / 4 (inert ingredients 1 MG Oral Tablet) } Pack [Yaz 28 Day],event,medications,8910,False
292,albuterol 0.21 MG/ML Inhalation Solution,event,medications,8860,False
293,Complete blood count with white cell differential  automated (procedure),event,procedures,8822,False
294,{7 (ethinyl estradiol 0.035 MG / norgestimate 0.18 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.215 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Trinessa 28 Day],event,medications,8783,False
295,Furosemide 40 MG Oral Tablet,event,medications,8689,False
296,Fracture of bone (disorder),event,conditions,8584,False
297,{21 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Levora 0.15/30 28 Day],event,medications,8577,False
298,{5 (dienogest 2 MG / estradiol valerate 2 MG Oral Tablet) / 17 (dienogest 3 MG / estradiol valerate 2 MG Oral Tablet) / 2 (estradiol valerate 1 MG Oral Tablet) / 2 (estradiol valerate 3 MG Oral Tablet) / 2 (inert ingredients 1 MG Oral Tablet) } Pack [Natazia 28 Day],event,medications,8485,False
299,levonorgestrel 0.000833 MG/HR Intrauterine System [Mirena],event,medications,8463,False
300,Rectal polypectomy (procedure),event,procedures,8337,False
301,Vitamin B12 5 MG/ML Injectable Solution,event,medications,8121,False
302,Epidural anesthesia (procedure),event,procedures,8095,False
303,budesonide 0.125 MG/ML Inhalation Suspension [Pulmicort],event,medications,7991,False
304,Pregnancy termination care (regime/therapy),event,procedures,7786,False
305,Dependent drug abuse (disorder),event,conditions,7783,False
306,Microalbuminuria due to type 2 diabetes mellitus (disorder),event,conditions,7749,False
307,Counseling for termination of pregnancy (procedure),event,procedures,7729,False
308,Induced termination of pregnancy (procedure),event,procedures,7729,False
309,Chronic intractable migraine without aura (disorder),event,conditions,7589,False
310,Impacted molars (disorder),event,conditions,7585,False
311,Chronic kidney disease stage 2 (disorder),event,conditions,7401,False
312,ferrous sulfate 325 MG Oral Tablet,event,medications,7373,False
313,levonorgestrel 0.000813 MG/HR Intrauterine System [Liletta],event,medications,7357,False
314,Polyp of colon (disorder),event,conditions,7326,False
315,Evaluation procedure (procedure),event,procedures,7299,False
316,1 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe,event,medications,7151,False
317,Complete miscarriage (disorder),event,conditions,7136,False
318,albuterol 0.417 MG/ML Inhalation Solution,event,medications,7073,False
319,Sinusitis (disorder),event,conditions,7054,False
320,21 DAY ethinyl estradiol 0.000625 MG/HR / etonogestrel 0.005 MG/HR Vaginal System [NuvaRing],event,medications,7042,False
321,Cough (finding),event,conditions,7039,False
322,Sleep disorder (disorder),event,conditions,7029,False
323,Bone density scan (procedure),event,procedures,7026,False
324,Acute bacterial sinusitis (disorder),event,conditions,6994,False
325,Screening for occult blood in feces (procedure),event,procedures,6862,False
326,levonorgestrel 0.000729 MG/HR Intrauterine System [Kyleena],event,medications,6860,False
327,losartan potassium 25 MG Oral Tablet,event,medications,6824,False
328,Concussion with no loss of consciousness (disorder),event,conditions,6824,False
329,Osteoarthritis of knee (disorder),event,conditions,6773,False
330,Medical induction of labor (procedure),event,procedures,6752,False
331,Bone immobilization (procedure),event,procedures,6712,False
332,Refugee (person),event,conditions,6699,False
333,Assessment using Morse Fall Scale (procedure),event,procedures,6655,False
334,Percutaneous coronary intervention,event,procedures,6515,False
335,History of appendectomy (situation),event,conditions,6413,False
336,Renal disorder medication review (procedure),event,procedures,6390,False
337,Alendronic acid 10 MG Oral Tablet,event,medications,6313,False
338,Assessment using Car  Relax  Alone  Forget  Friends  Trouble Screening Test (procedure),event,procedures,6262,False
339,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,event,medications,6133,False
340,Subcutaneous immunotherapy (procedure),event,procedures,6075,False
341,Manual pelvic examination (procedure),event,procedures,6052,False
342,Recurrent urinary tract infection (disorder),event,conditions,6027,False
343,10 ML oxaliplatin 5 MG/ML Injection,event,medications,5883,False
344,Leucovorin 100 MG Injection,event,medications,5883,False
345,1 ML medroxyPROGESTERone acetate 150 MG/ML Injection,event,medications,5830,False
346,Sterilization requested (situation),event,conditions,5828,False
347,Antenatal RhD antibody screening (procedure),event,procedures,5786,False
348,Transthoracic echocardiography (procedure),event,procedures,5680,False
349,Hospice care (regime/therapy),event,procedures,5678,False
350,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet,event,medications,5564,False
351,Chemotherapy (procedure),event,procedures,5563,False
352,Injury of neck (disorder),event,conditions,5551,False
353,Whiplash injury to neck (disorder),event,conditions,5551,False
354,Notifications (procedure),event,procedures,5515,False
355,Certification procedure (procedure),event,procedures,5515,False
356,Referral to sleep apnea clinic (procedure),event,procedures,5452,False
357,Asthma (disorder),event,conditions,5278,False
358,Loss of taste (finding),event,conditions,5225,False
359,Sepsis (disorder),event,conditions,5174,True
360,COVID-19 vaccine  vector-nr  rS-Ad26  PF  0.5 mL,event,immunizations,5153,False
361,Anticipatory guidance (procedure),event,procedures,4968,False
362,Cesarean section (procedure),event,procedures,4958,False
363,History of coronary artery bypass grafting (situation),event,conditions,4888,False
364,IPV,event,immunizations,4870,False
365,carvedilol 25 MG Oral Tablet,event,medications,4827,False
366,Sterilization education (procedure),event,procedures,4760,False
367,Ligation of bilateral fallopian tubes (procedure),event,procedures,4752,False
368,Hyperglycemia (disorder),event,conditions,4749,False
369,Burn injury (morphologic abnormality),event,conditions,4635,False
370,Obstructive sleep apnea syndrome (disorder),event,conditions,4634,False
371,Seizure disorder (disorder),event,conditions,4566,False
372,History of seizure (situation),event,conditions,4566,False
373,Proteinuria due to type 2 diabetes mellitus (disorder),event,conditions,4553,False
374,Otitis media (disorder),event,conditions,4549,False
375,2 ML Ondansetron 2 MG/ML Injection,event,medications,4502,False
376,Extraction of wisdom tooth (procedure),event,procedures,4474,False
377,Acetaminophen 300 MG / HYDROcodone Bitartrate 5 MG Oral Tablet,event,medications,4469,False
378,Sprain of wrist (disorder),event,conditions,4419,False
379,168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System,event,medications,4372,False
380,1 ML heparin sodium  porcine 5000 UNT/ML Injection,event,medications,4330,False
381,Chronic kidney disease stage 3 (disorder),event,conditions,4311,False
382,Resuscitation using intravenous fluid (procedure),event,procedures,4275,False
383,Administration of anesthesia for procedure (procedure),event,procedures,4222,False
384,Intubation (procedure),event,procedures,4222,False
385,100 ML Propofol 10 MG/ML Injection,event,medications,4222,False
386,Rocuronium bromide 10 MG/ML Injectable Solution,event,medications,4222,False
387,Serving in military service (finding),event,conditions,4202,False
388,Chlorpheniramine Maleate 2 MG/ML Oral Solution,event,medications,4145,False
389,Referral to cardiac surgery service (procedure),event,procedures,4092,False
390,Postoperative procedure education (procedure),event,procedures,4058,False
391,Pre-surgery testing (procedure),event,procedures,4057,False
392,Notification of treatment plan (procedure),event,procedures,4055,False
393,Walking exercise test (procedure),event,procedures,4047,False
394,Stair-climbing test (procedure),event,procedures,4047,False
395,Scheduling (procedure),event,procedures,4036,False
396,Midazolam 1 MG/ML Injectable Solution,event,medications,3980,False
397,cefazolin 2000 MG Injection,event,medications,3972,False
398,Insertion of catheter into artery (procedure),event,procedures,3942,False
399,25 ML protamine sulfate (USP) 10 MG/ML Injection,event,medications,3942,False
400,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet,event,medications,3911,False
401,Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,event,medications,3885,False
402,Patient discharge (procedure),event,procedures,3873,False
403,Referral for echocardiography (procedure),event,procedures,3842,False
404,Removal of endotracheal tube (procedure),event,procedures,3825,False
405,losartan potassium 50 MG Oral Tablet,event,medications,3821,False
406,Fatigue (finding),event,conditions,3795,False
407,Discharge to ward (procedure),event,procedures,3789,False
408,Preparation of patient for procedure (regime/therapy),event,procedures,3779,False
409,Pulmonary catheterization with Swan-Ganz catheter (procedure),event,procedures,3779,False
410,Documentation procedure (procedure),event,procedures,3778,False
411,lisinopril 20 MG Oral Tablet,event,medications,3772,False
412,Alveolitis of jaw (disorder),event,conditions,3770,False
413,Tooth socket procedure (procedure),event,procedures,3770,False
414,Median sternotomy (procedure),event,procedures,3739,False
415,ciprofloxacin 500 MG Oral Tablet,event,medications,3714,False
416,Meperidine Hydrochloride 50 MG Oral Tablet,event,medications,3684,False
417,Augmentation of labor (procedure),event,procedures,3608,False
418,Laceration of foot (disorder),event,conditions,3596,False
419,Sputum finding (finding),event,conditions,3593,False
420,Laceration of forearm (disorder),event,conditions,3540,False
421,Hydrocortisone 10 MG/ML Topical Cream,event,medications,3514,False
422,Amoxicillin 250 MG Oral Capsule,event,medications,3507,False
423,Laceration of hand (disorder),event,conditions,3496,False
424,Injection of tetanus antitoxin (procedure),event,procedures,3485,False
425,Facial laceration (disorder),event,conditions,3444,False
426,Blighted ovum (disorder),event,conditions,3430,False
427,Laceration of thigh (disorder),event,conditions,3428,False
428,Triage: emergency center (procedure),event,procedures,3419,False
429,Taking patient vital signs (procedure),event,procedures,3419,False
430,History and physical examination with evaluation and management of patient (procedure),event,procedures,3419,False
431,Adolescent idiopathic scoliosis (disorder),event,conditions,3409,False
432,Fibromyalgia (disorder),event,conditions,3383,False
433,Discussion about pregnancy (procedure),event,procedures,3379,False
434,Pre-eclampsia (disorder),event,conditions,3285,False
435,Information gathering (procedure),event,procedures,3214,False
436,Eclampsia in pregnancy (disorder),event,conditions,3127,False
437,Astemizole 10 MG Oral Tablet,event,medications,3040,False
438,isoflurane 999 MG/ML Inhalation Solution,event,medications,2951,False
439,Hep B  adult,event,immunizations,2926,False
440,Transfer to stepdown unit (procedure),event,procedures,2925,False
441,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],event,medications,2916,False
442,Localized  primary osteoarthritis of the hand (disorder),event,conditions,2859,False
443,Instrumental delivery (procedure),event,procedures,2825,False
444,Digoxin 0.125 MG Oral Tablet,event,medications,2769,False
445,verapamil hydrochloride 80 MG Oral Tablet [Calan],event,medications,2769,False
446,Warfarin Sodium 5 MG Oral Tablet,event,medications,2754,False
447,Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet,event,medications,2721,False
448,Injury of knee (disorder),event,conditions,2692,False
